지점,지점명,일시,합계 일사량(MJ/m2),위도,경도
168,여수,24-2,285.87,34.73929,127.74063
168,여수,24-3,497.12,34.73929,127.74063
168,여수,24-4,486.56,34.73929,127.74063
168,여수,24-5,722.77,34.73929,127.74063
168,여수,24-6,581.78,34.73929,127.74063
168,여수,24-7,523.86,34.73929,127.74063
168,여수,24-8,704.43,34.73929,127.74063
168,여수,24-9,522.19,34.73929,127.74063
168,여수,24-10,401.52,34.73929,127.74063
168,여수,24-11,321.17,34.73929,127.74063
169,흑산도,23-11,232.82,34.68719,125.45105
169,흑산도,23-12,178.75,34.68719,125.45105
169,흑산도,24-1,239.06,34.68719,125.45105
169,흑산도,24-2,258.76,34.68719,125.45105
169,흑산도,24-3,467.25,34.68719,125.45105
169,흑산도,24-4,545.37,34.68719,125.45105
169,흑산도,24-5,716.08,34.68719,125.45105
169,흑산도,24-6,591.6,34.68719,125.45105
169,흑산도,24-7,470.47,34.68719,125.45105
169,흑산도,24-8,712.84,34.68719,125.45105
169,흑산도,24-9,551.38,34.68719,125.45105
169,흑산도,24-10,346.82,34.68719,125.45105
169,흑산도,24-11,287.94,34.68719,125.45105
170,완도,24-3,64.89,34.3959,126.70182
170,완도,24-4,486.25,34.3959,126.70182
170,완도,24-5,698.46,34.3959,126.70182
170,완도,24-6,548.54,34.3959,126.70182
170,완도,24-7,536.04,34.3959,126.70182
170,완도,24-8,685.58,34.3959,126.70182
170,완도,24-9,489.69,34.3959,126.70182
170,완도,24-10,356.12,34.3959,126.70182
170,완도,24-11,299.47,34.3959,126.70182
172,고창,23-11,283.07,35.34824,126.599
172,고창,23-12,194.62,35.34824,126.599
172,고창,24-1,283.22,35.34824,126.599
172,고창,24-2,266.78,35.34824,126.599
172,고창,24-3,467.86,35.34824,126.599
172,고창,24-4,528.28,35.34824,126.599
172,고창,24-5,352.75,35.34824,126.599
172,고창,24-6,598.6,35.34824,126.599
172,고창,24-7,490.57,35.34824,126.599
172,고창,24-8,629.01,35.34824,126.599
172,고창,24-9,509.28,35.34824,126.599
172,고창,24-10,369.46,35.34824,126.599
172,고창,24-11,299.75,35.34824,126.599
177,홍성,23-11,262.7,36.65759,126.68772
177,홍성,23-12,181.53,36.65759,126.68772
177,홍성,24-1,248.98,36.65759,126.68772
177,홍성,24-2,238.59,36.65759,126.68772
177,홍성,24-3,459.36,36.65759,126.68772
177,홍성,24-4,519.68,36.65759,126.68772
177,홍성,24-5,663.35,36.65759,126.68772
177,홍성,24-6,702.15,36.65759,126.68772
